id,level,chamber,district,cycle,activePhase,displayTitle,incumbentBioguideId
senate-2026,federal,U.S. Senate,,2026,general,,O000174
ga-01-2026,federal,U.S. House,1,2026,general,,
ga-02-2026,federal,U.S. House,2,2026,general,,
ga-03-2026,federal,U.S. House,3,2026,general,,
ga-04-2026,federal,U.S. House,4,2026,general,,
ga-05-2026,federal,U.S. House,5,2026,general,,
ga-06-2026,federal,U.S. House,6,2026,general,,
ga-07-2026,federal,U.S. House,7,2026,general,,
ga-08-2026,federal,U.S. House,8,2026,general,,
ga-09-2026,federal,U.S. House,9,2026,general,,
ga-10-2026,federal,U.S. House,10,2026,general,,
ga-11-2026,federal,U.S. House,11,2026,general,,
ga-12-2026,federal,U.S. House,12,2026,general,,
ga-13-2026,federal,U.S. House,13,2026,general,,
ga-13-special-2026,federal,U.S. House,13,2026,runoff,,
ga-14-2026,federal,U.S. House,14,2026,general,,
ga-agriculture-commissioner-2026,state-executive,Commissioner of Agriculture,,2026,general,,
ga-attorney-general-2026,state-executive,Attorney General,,2026,general,,
ga-governor-2026,state-executive,Governor,,2026,general,,
ga-insurance-commissioner-2026,state-executive,Insurance & Fire Safety Commissioner,,2026,general,,
ga-labor-commissioner-2026,state-executive,Labor Commissioner,,2026,general,,
ga-lt-governor-2026,state-executive,Lieutenant Governor,,2026,general,,
ga-psc-3-2026,state-executive,Public Service Commissioner,3,2026,general,,
ga-psc-5-2026,state-executive,Public Service Commissioner,5,2026,general,,
ga-secretary-of-state-2026,state-executive,Secretary of State,,2026,general,,
ga-school-superintendent-2026,state-executive,State School Superintendent,,2026,general,,
supreme-court-warren-2026,state-judicial,Supreme Court of Georgia,,2026,general,Supreme Court of Georgia — Warren Seat,
supreme-court-bethel-2026,state-judicial,Supreme Court of Georgia,,2026,general,Supreme Court of Georgia — Bethel Seat,
court-of-appeals-doyle-2026,state-judicial,Georgia Court of Appeals,,2026,general,Georgia Court of Appeals — Doyle Seat,
court-of-appeals-padgett-2026,state-judicial,Georgia Court of Appeals,,2026,general,Georgia Court of Appeals — Padgett Seat,
court-of-appeals-gobeil-2026,state-judicial,Georgia Court of Appeals,,2026,general,Georgia Court of Appeals — Gobeil Seat,
court-of-appeals-markle-2026,state-judicial,Georgia Court of Appeals,,2026,general,Georgia Court of Appeals — Markle Seat,
court-of-appeals-brown-2026,state-judicial,Georgia Court of Appeals,,2026,general,Georgia Court of Appeals — Brown Seat,
superior-court-alapaha-perryman-2026,state-judicial,Superior Court,,2026,general,Alapaha Judicial Circuit — Perryman,
superior-court-alcovy-mccamy-2026,state-judicial,Superior Court,,2026,general,Alcovy Judicial Circuit — McCamy,
superior-court-alcovy-zon-2026,state-judicial,Superior Court,,2026,general,Alcovy Judicial Circuit — Zon,
superior-court-appalachian-priest-2026,state-judicial,Superior Court,,2026,general,Appalachian Judicial Circuit — Priest,
superior-court-appalachian-sosebee-2026,state-judicial,Superior Court,,2026,general,Appalachian Judicial Circuit — Sosebee,
superior-court-atlanta-benton-2026,state-judicial,Superior Court,,2026,general,Atlanta Judicial Circuit — Benton,
superior-court-atlanta-eaton-2026,state-judicial,Superior Court,,2026,general,Atlanta Judicial Circuit — Eaton,
superior-court-atlanta-ellerbe-2026,state-judicial,Superior Court,,2026,general,Atlanta Judicial Circuit — Ellerbe,
superior-court-atlanta-farmer-2026,state-judicial,Superior Court,,2026,general,Atlanta Judicial Circuit — Farmer,
superior-court-atlanta-mcburney-2026,state-judicial,Superior Court,,2026,general,Atlanta Judicial Circuit — McBurney,
superior-court-atlanta-schwall-2026,state-judicial,Superior Court,,2026,general,Atlanta Judicial Circuit — Schwall,
superior-court-atlanta-whitaker-2026,state-judicial,Superior Court,,2026,general,Atlanta Judicial Circuit — Whitaker,
superior-court-atlantic-hendrix-2026,state-judicial,Superior Court,,2026,general,Atlantic Judicial Circuit — Hendrix,
superior-court-atlantic-stewart-2026,state-judicial,Superior Court,,2026,general,Atlantic Judicial Circuit — Stewart,
superior-court-augusta-heath-2026,state-judicial,Superior Court,,2026,general,Augusta Judicial Circuit — Heath,
superior-court-augusta-stone-2026,state-judicial,Superior Court,,2026,general,Augusta Judicial Circuit — Stone,
superior-court-augusta-wright-2026,state-judicial,Superior Court,,2026,general,Augusta Judicial Circuit — Wright,
superior-court-bell-forsyth-bagley-2026,state-judicial,Superior Court,,2026,general,Bell-Forsyth Judicial Circuit — Bagley,
superior-court-bell-forsyth-smith-2026,state-judicial,Superior Court,,2026,general,Bell-Forsyth Judicial Circuit — Smith,
superior-court-blue-ridge-baker-2026,state-judicial,Superior Court,,2026,general,Blue Ridge Judicial Circuit — Baker,
superior-court-brunswick-lane-2026,state-judicial,Superior Court,,2026,general,Brunswick Judicial Circuit — Lane,
superior-court-chattahoochee-burch-2026,state-judicial,Superior Court,,2026,general,Chattahoochee Judicial Circuit — Burch,
superior-court-cherokee-greene-2026,state-judicial,Superior Court,,2026,general,Cherokee Judicial Circuit — Greene,
superior-court-cherokee-patel-2026,state-judicial,Superior Court,,2026,general,Cherokee Judicial Circuit — Patel,
superior-court-cherokee-smith-2026,state-judicial,Superior Court,,2026,general,Cherokee Judicial Circuit — Smith,
superior-court-clayton-carter-2026,state-judicial,Superior Court,,2026,general,Clayton Judicial Circuit — Carter,
superior-court-clayton-mason-2026,state-judicial,Superior Court,,2026,general,Clayton Judicial Circuit — Mason,
superior-court-cobb-brown-2026,state-judicial,Superior Court,,2026,general,Cobb Judicial Circuit — Brown,
superior-court-cobb-harris-2026,state-judicial,Superior Court,,2026,general,Cobb Judicial Circuit — Harris,
superior-court-cobb-leonard-2026,state-judicial,Superior Court,,2026,general,Cobb Judicial Circuit — Leonard,
superior-court-columbia-blanchard-2026,state-judicial,Superior Court,,2026,general,Columbia Judicial Circuit — Blanchard,
superior-court-columbia-fleming-2026,state-judicial,Superior Court,,2026,general,Columbia Judicial Circuit — Fleming,
superior-court-conasauga-morris-2026,state-judicial,Superior Court,,2026,general,Conasauga Judicial Circuit — Morris,
